fold,component_id,family,config,threshold,persistence,healthy_windows,healthy_window_false_alarm_rate,healthy_trajectories,healthy_trajectory_false_alarm_rate,detection_rate,n_fault_runs,median_delay_sec,n_delay_valid,fa_pass,detection_pass,delay_pass,all_hard_gates_pass,selected,reason
1,gas_generator,FA-1,FA-1b,4.0,1.0,505.0,0.0,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,gas_generator,FA-1,FA-1c,4.0,1.0,505.0,0.03762376237623762,5.0,0.2,1.0,1.0,84.9,1.0,True,True,False,False,True,
1,gas_generator,FA-2,FA-2a,0.9,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,gas_generator,FA-2,FA-2b,0.9,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,gas_generator,FA-2,FA-2c,0.9,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,combustion_chamber,FA-1,FA-1a,7.0,3.0,505.0,0.04554455445544554,5.0,0.4,1.0,1.0,0.9000000000000057,1.0,True,True,True,True,True,
1,combustion_chamber,FA-1,FA-1b,5.0,3.0,505.0,0.015841584158415842,5.0,0.4,1.0,1.0,0.9000000000000057,1.0,True,True,True,True,True,
1,combustion_chamber,FA-1,FA-1c,4.0,3.0,505.0,0.027722772277227723,5.0,0.4,1.0,1.0,0.9000000000000057,1.0,True,True,True,True,True,
1,combustion_chamber,FA-2,FA-2a,0.9,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,combustion_chamber,FA-2,FA-2b,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
1,combustion_chamber,FA-2,FA-2c,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
1,nozzle,FA-1,FA-1a,4.0,1.0,505.0,0.0,5.0,0.0,1.0,1.0,84.9,1.0,True,True,False,False,True,
1,nozzle,FA-1,FA-1b,4.0,1.0,505.0,0.0,5.0,0.0,1.0,1.0,84.9,1.0,True,True,False,False,True,
1,nozzle,FA-1,FA-1c,4.0,1.0,505.0,0.0,5.0,0.0,1.0,1.0,84.9,1.0,True,True,False,False,True,
1,nozzle,FA-2,FA-2a,0.3,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,nozzle,FA-2,FA-2b,0.3,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
1,nozzle,FA-2,FA-2c,0.3,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,lox_pump,FA-1,FA-1a,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
2,lox_pump,FA-1,FA-1b,5.0,1.0,505.0,0.0,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,lox_pump,FA-1,FA-1c,7.0,1.0,505.0,0.04554455445544554,5.0,0.2,1.0,1.0,84.9,1.0,True,True,False,False,True,
2,lox_pump,FA-2,FA-2a,0.5,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,lox_pump,FA-2,FA-2b,0.5,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,lox_pump,FA-2,FA-2c,0.5,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,oxygen_turbine,FA-1,FA-1a,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
2,oxygen_turbine,FA-1,FA-1b,4.0,1.0,505.0,0.0,5.0,0.0,1.0,1.0,84.9,1.0,True,True,False,False,True,
2,oxygen_turbine,FA-1,FA-1c,10.0,1.0,505.0,0.027722772277227723,5.0,0.2,1.0,1.0,84.9,1.0,True,True,False,False,True,
2,oxygen_turbine,FA-2,FA-2a,0.7,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,oxygen_turbine,FA-2,FA-2b,0.7,1.0,505.0,0.03564356435643564,5.0,0.2,0.0,1.0,,0.0,True,False,,False,True,
2,oxygen_turbine,FA-2,FA-2c,0.7,1.0,505.0,0.031683168316831684,5.0,0.2,0.0,1.0,,0.0,True,False,,False,True,
2,kerosene_pipeline,FA-1,FA-1a,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
2,kerosene_pipeline,FA-1,FA-1b,4.0,3.0,505.0,0.0,5.0,0.0,1.0,1.0,0.8999999999999773,1.0,True,True,True,True,True,
2,kerosene_pipeline,FA-1,FA-1c,5.0,3.0,505.0,0.04356435643564356,5.0,0.4,1.0,1.0,0.8999999999999773,1.0,True,True,True,True,True,
2,kerosene_pipeline,FA-2,FA-2a,0.7,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,kerosene_pipeline,FA-2,FA-2b,,,,,,,,,,,,,,,False,"no (threshold,persistence) meets inner healthy FA<=0.05"
2,kerosene_pipeline,FA-2,FA-2c,0.9,1.0,505.0,0.0297029702970297,5.0,0.2,0.0,1.0,,0.0,True,False,,False,True,
2,kerosene_valve,FA-1,FA-1a,4.0,3.0,505.0,0.0,5.0,0.0,1.0,1.0,0.8999999999999773,1.0,True,True,True,True,True,
2,kerosene_valve,FA-1,FA-1b,4.0,1.0,505.0,0.0,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,kerosene_valve,FA-1,FA-1c,6.0,3.0,505.0,0.041584158415841586,5.0,0.2,1.0,1.0,0.8999999999999773,1.0,True,True,True,True,True,
2,kerosene_valve,FA-2,FA-2a,0.9,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,kerosene_valve,FA-2,FA-2b,0.9,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,kerosene_valve,FA-2,FA-2c,0.9,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,gas_generator,FA-1,FA-1a,10.0,1.0,505.0,0.0019801980198019802,5.0,0.2,0.0,1.0,,0.0,True,False,,False,True,
2,gas_generator,FA-1,FA-1b,4.0,1.0,505.0,0.0,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,gas_generator,FA-1,FA-1c,5.0,3.0,505.0,0.023762376237623763,5.0,0.2,1.0,1.0,0.8999999999999773,1.0,True,True,True,True,True,
2,gas_generator,FA-2,FA-2a,0.7,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,gas_generator,FA-2,FA-2b,0.9,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,gas_generator,FA-2,FA-2c,0.9,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,combustion_chamber,FA-1,FA-1a,4.0,1.0,505.0,0.0,5.0,0.0,1.0,1.0,84.9,1.0,True,True,False,False,True,
2,combustion_chamber,FA-1,FA-1b,4.0,1.0,505.0,0.0,5.0,0.0,1.0,1.0,84.9,1.0,True,True,False,False,True,
2,combustion_chamber,FA-1,FA-1c,4.0,1.0,505.0,0.0,5.0,0.0,1.0,1.0,84.9,1.0,True,True,False,False,True,
2,combustion_chamber,FA-2,FA-2a,0.9,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,combustion_chamber,FA-2,FA-2b,0.9,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,combustion_chamber,FA-2,FA-2c,0.9,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,nozzle,FA-1,FA-1a,8.0,3.0,505.0,0.02178217821782178,5.0,0.2,1.0,1.0,0.9000000000000057,1.0,True,True,True,True,True,
2,nozzle,FA-1,FA-1b,4.0,3.0,505.0,0.0,5.0,0.0,1.0,1.0,0.9000000000000057,1.0,True,True,True,True,True,
2,nozzle,FA-1,FA-1c,6.0,3.0,505.0,0.0,5.0,0.0,1.0,1.0,0.9000000000000057,1.0,True,True,True,True,True,
2,nozzle,FA-2,FA-2a,0.9,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,nozzle,FA-2,FA-2b,0.7,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
2,nozzle,FA-2,FA-2c,0.7,1.0,505.0,0.009900990099009901,5.0,0.0,0.0,1.0,,0.0,True,False,,False,True,
