fold,component_id,family,config,selected,mae,r2,hit_at_010,n_windows,healthy_windows,healthy_window_false_alarm_rate,healthy_trajectories,healthy_trajectory_false_alarm_rate
0,gas_generator,CH-2,CH-2b@z3.0,False,0.0792128026338572,0.6661598475578244,0.7837603126356926,4606,404,0.2202970297029703,4,0.25
0,gas_generator,CH-2,CH-2b@z4.0,True,0.08502423000598205,0.5983151341462751,0.78419452887538,4606,404,0.0,4,0.0
0,gas_generator,CH-2,CH-2b@z5.0,True,0.08604249607401589,0.5866625035452198,0.785497177594442,4606,404,0.0,4,0.0
0,gas_generator,CH-2,CH-2c@z3.0,False,0.0792128026338572,0.6661598475578244,0.7837603126356926,4606,404,0.2202970297029703,4,0.25
0,gas_generator,CH-2,CH-2c@z4.0,True,0.08502423000598205,0.5983151341462751,0.78419452887538,4606,404,0.0,4,0.0
0,gas_generator,CH-2,CH-2c@z5.0,True,0.08604249607401589,0.5866625035452198,0.785497177594442,4606,404,0.0,4,0.0
0,combustion_chamber,CH-1,CH-1a,True,0.04279980191573642,0.8903981414303609,0.868866695614416,4606,404,0.0,4,0.0
0,combustion_chamber,CH-1,CH-1b,True,0.025763741050936966,0.9247945473951821,0.93573599652627,4606,404,0.0,4,0.0
0,combustion_chamber,CH-1,CH-1c,True,0.025763741050936966,0.9247945473951821,0.93573599652627,4606,404,0.0,4,0.0
0,combustion_chamber,CH-2,CH-2a@z3.0,True,0.025415612318487144,0.9248740345778741,0.9364670530156686,4659,404,0.0,4,0.0
0,combustion_chamber,CH-2,CH-2a@z4.0,True,0.025371325700127935,0.9248913531711414,0.9365759588600814,4667,404,0.0,4,0.0
0,combustion_chamber,CH-2,CH-2a@z5.0,True,0.025338312542714056,0.9249074406350201,0.936670945656825,4674,404,0.0,4,0.0
0,combustion_chamber,CH-2,CH-2b@z3.0,True,0.025861422621648786,0.9247192029497958,0.93573599652627,4606,404,0.0,4,0.0
0,combustion_chamber,CH-2,CH-2b@z4.0,True,0.02589359300784569,0.9247205106588178,0.93573599652627,4606,404,0.0,4,0.0
0,combustion_chamber,CH-2,CH-2b@z5.0,True,0.02598852911609201,0.9246945983042476,0.93573599652627,4606,404,0.0,4,0.0
0,combustion_chamber,CH-2,CH-2c@z3.0,True,0.025861422621648786,0.9247192029497958,0.93573599652627,4606,404,0.0,4,0.0
0,combustion_chamber,CH-2,CH-2c@z4.0,True,0.02589359300784569,0.9247205106588178,0.93573599652627,4606,404,0.0,4,0.0
0,combustion_chamber,CH-2,CH-2c@z5.0,True,0.02598852911609201,0.9246945983042476,0.93573599652627,4606,404,0.0,4,0.0
0,nozzle,CH-1,CH-1a,True,0.04813080254327042,0.7476339044328568,0.8797221016066001,4606,404,0.0,4,0.0
0,nozzle,CH-1,CH-1b,True,0.03118891007906056,0.7862878497708288,0.8851498046026921,4606,404,0.0,4,0.0
0,nozzle,CH-1,CH-1c,True,0.03118891007906056,0.7862878497708288,0.8851498046026921,4606,404,0.0,4,0.0
0,nozzle,CH-2,CH-2a@z3.0,True,0.027181920852665263,0.8383791845864261,0.8920357751277683,4696,404,0.0,4,0.0
0,nozzle,CH-2,CH-2a@z4.0,True,0.027029867924266343,0.8402515969424024,0.8922487223168655,4696,404,0.0,4,0.0
0,nozzle,CH-2,CH-2a@z5.0,True,0.026996641066978733,0.8401054223941314,0.8923404255319148,4700,404,0.0,4,0.0
0,nozzle,CH-2,CH-2b@z3.0,True,0.02950174770459185,0.8253794412592625,0.8851498046026921,4606,404,0.0,4,0.0
0,nozzle,CH-2,CH-2b@z4.0,True,0.02943036072644778,0.8267956627479696,0.8851498046026921,4606,404,0.0,4,0.0
0,nozzle,CH-2,CH-2b@z5.0,True,0.029424381785040567,0.826714766630769,0.8851498046026921,4606,404,0.0,4,0.0
0,nozzle,CH-2,CH-2c@z3.0,True,0.02950174770459185,0.8253794412592625,0.8851498046026921,4606,404,0.0,4,0.0
0,nozzle,CH-2,CH-2c@z4.0,True,0.02943036072644778,0.8267956627479696,0.8851498046026921,4606,404,0.0,4,0.0
0,nozzle,CH-2,CH-2c@z5.0,True,0.029424381785040567,0.826714766630769,0.8851498046026921,4606,404,0.0,4,0.0
1,lox_pump,CH-1,CH-1a,True,0.016005395862737897,0.9810414541658947,0.9725765306122449,4704,505,0.0,5,0.0
1,lox_pump,CH-1,CH-1b,True,0.006890761092363229,0.9852104934929217,0.9725765306122449,4704,505,0.0,5,0.0
1,lox_pump,CH-1,CH-1c,True,0.006890761092363229,0.9852104934929217,0.9725765306122449,4704,505,0.0,5,0.0
1,lox_pump,CH-2,CH-2a@z3.0,True,0.0063242619425031435,0.9869034055883259,0.9740477187107577,4778,505,0.0,5,0.0
1,lox_pump,CH-2,CH-2a@z4.0,True,0.006285008533524396,0.9869092689992174,0.9740694270179842,4782,505,0.0,5,0.0
1,lox_pump,CH-2,CH-2a@z5.0,True,0.006319952545037766,0.9868411530263262,0.9740910990388634,4786,505,0.0,5,0.0
1,lox_pump,CH-2,CH-2b@z3.0,True,0.006764382944626799,0.9865519422116077,0.9727891156462585,4704,505,0.0,5,0.0
1,lox_pump,CH-2,CH-2b@z4.0,True,0.006773181723258491,0.9865571104597574,0.9727891156462585,4704,505,0.0,5,0.0
1,lox_pump,CH-2,CH-2b@z5.0,True,0.006805762926457401,0.9865272643700281,0.9727891156462585,4704,505,0.0,5,0.0
1,lox_pump,CH-2,CH-2c@z3.0,True,0.006764382944626799,0.9865519422116077,0.9727891156462585,4704,505,0.0,5,0.0
1,lox_pump,CH-2,CH-2c@z4.0,True,0.006773181723258491,0.9865571104597574,0.9727891156462585,4704,505,0.0,5,0.0
1,lox_pump,CH-2,CH-2c@z5.0,True,0.006805762926457401,0.9865272643700281,0.9727891156462585,4704,505,0.0,5,0.0
1,oxygen_turbine,CH-1,CH-1a,True,0.08037197283950383,0.18422853498175007,0.8001700680272109,4704,505,0.019801980198019802,5,0.2
1,oxygen_turbine,CH-1,CH-1b,True,0.036992757773238585,0.6139669991765562,0.8983843537414966,4704,505,0.0,5,0.0
1,oxygen_turbine,CH-1,CH-1c,True,0.036992757773238585,0.6139669991765562,0.8983843537414966,4704,505,0.0,5,0.0
